"(PDH-CSV 4.0) (Eastern Standard Time)(300)","\\ELIXIR\Process(calc)\% Processor Time","\\ELIXIR\Process(calc)\IO Data Bytes/sec","\\ELIXIR\Process(calc)\IO Read Operations/sec","\\ELIXIR\Process(calc)\IO Write Operations/sec","\\ELIXIR\Process(calc)\Thread Count","\\ELIXIR\Process(calc)\Virtual Bytes"
"11/07/2013 20:21:43.364","0","0","0","0","2","29552640"
"11/07/2013 20:21:48.372","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:21:53.379","0","0","0","0","2","29552640"
"11/07/2013 20:21:58.386","0","0","0","0","2","29552640"
"11/07/2013 20:22:03.393","0","0","0","0","2","29552640"
"11/07/2013 20:22:08.400","0","0","0","0","2","29552640"
"11/07/2013 20:22:13.408","0","0","0","0","2","29552640"
"11/07/2013 20:22:18.415","0","0","0","0","2","29552640"
"11/07/2013 20:22:23.422","0","0","0","0","2","29552640"
"11/07/2013 20:22:28.429","0","0","0","0","2","29552640"
"11/07/2013 20:22:33.436","0","0","0","0","2","29552640"
"11/07/2013 20:22:38.444","0","0","0","0","2","29552640"
"11/07/2013 20:22:43.451","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:22:48.458","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:22:53.465","0","0","0","0","2","29552640"
"11/07/2013 20:22:58.472","0","0","0","0","2","29552640"
"11/07/2013 20:23:03.480","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:23:08.487","0","0","0","0","2","29552640"
"11/07/2013 20:23:13.494","0","0","0","0","2","29552640"
"11/07/2013 20:23:18.501","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:23:23.508","0","0","0","0","2","29552640"
"11/07/2013 20:23:28.516","0","0","0","0","2","29552640"
"11/07/2013 20:23:33.523","0","0","0","0","2","29552640"
"11/07/2013 20:23:38.530","0","0","0","0","2","29552640"
"11/07/2013 20:23:43.537","0.40000000000000002","0","0","0","2","29552640"
"11/07/2013 20:23:48.544","0","0","0","0","2","29552640"
"11/07/2013 20:23:53.552","0","0","0","0","2","29552640"
"11/07/2013 20:23:58.559","0","0","0","0","2","29552640"
"11/07/2013 20:24:03.566","0","0","0","0","2","29552640"
"11/07/2013 20:24:08.573","0","0","0","0","2","29552640"
"11/07/2013 20:24:13.580","0","0","0","0","2","29552640"
"11/07/2013 20:24:18.588","0","0","0","0","2","29552640"
"11/07/2013 20:24:23.595","0","0","0","0","2","29552640"
"11/07/2013 20:24:28.602","0","0","0","0","2","29552640"
"11/07/2013 20:24:33.609","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:24:38.616","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:24:43.624","0","0","0","0","2","29552640"
"11/07/2013 20:24:48.631","0","0","0","0","2","29552640"
"11/07/2013 20:24:53.638","0","0","0","0","2","29552640"
"11/07/2013 20:24:58.645","0","0","0","0","2","29552640"
"11/07/2013 20:25:03.652","0","0","0","0","2","29552640"
"11/07/2013 20:25:08.660","0","0","0","0","2","29552640"
"11/07/2013 20:25:13.667","0","0","0","0","2","29552640"
"11/07/2013 20:25:18.674","0","0","0","0","2","29552640"
"11/07/2013 20:25:23.681","0","0","0","0","2","29552640"
"11/07/2013 20:25:28.688","0","0","0","0","2","29552640"
"11/07/2013 20:25:33.696","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:25:38.703","0","0","0","0","2","29552640"
"11/07/2013 20:25:43.710","0","0","0","0","2","29552640"
"11/07/2013 20:25:48.717","0","0","0","0","2","29552640"
"11/07/2013 20:25:53.724","0","0","0","0","2","29552640"
"11/07/2013 20:25:58.732","0","0","0","0","2","29552640"
"11/07/2013 20:26:03.739","0","0","0","0","2","29552640"
"11/07/2013 20:26:08.746","0","0","0","0","2","29552640"
"11/07/2013 20:26:13.753","0","0","0","0","2","29552640"
